asvID,CPF1,CPF2,CPF3,CPF4,CPF5,CPA1,CPA2,CPA3,CPA4,CPA5,CPJ1,CPJ2,CPJ3,CPJ4,CPJ5,CPO1,CPO2,CPO3,CPO4,CPO5,ONF1,ONF2,ONF3,ONF4,ONF5,ONA1,ONA2,ONA3,ONA4,ONA5,ONJ1,ONJ2,ONJ3,ONJ4,ONJ5,ONO1,ONO2,ONO3,ONO4,ONO5,TSA1,TSA2,TSA3,TSA4,TSA5,TSJ1,TSJ2,TSJ3,TSJ4,TSJ5,TSO1,TSO2,TSO3,TSO4,TSO5,SBF1,SBF2,SBF3,SBA1,SBA2,SBA3,SBJ1,SBJ2,SBJ3,SBO1,SBO2,SBO3
asv65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,57,28,22,2129,2134,1780,838,187,962
asv66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,76,0,0,0,0,0,0,0,0,0,0,0,156,208,285,3826,2407,2220,0,0,0,0,0,0
asv68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,350,253,2157,1108,195,323,73,392,72,370,737,988,469,1321,422,0,0,0,0,0,0,0,0,0,0,0,0
asv69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,0,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,55,474,289,280,1132,1200,1151,1021,199,1088
asv71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,342,279,350,925,377,430,1257,1578,1542,314,76,462
asv72,59,111,99,149,206,47,112,0,0,0,0,72,0,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,18,659,28,38,0,0,0,0,0,34,0,0,26,0,1765,1700,1520,264,234,186,257,274,296,43,0,12
asv73,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,118,96,1782,2090,1420,956,142,658
asv74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,6494,0,1753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
asv75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386,332,443,2353,1224,1028,491,484,521,291,52,283
asv76,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,494,309,331,1577,1739,1648,355,164,444
asv77,0,12,0,0,0,0,0,91,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,619,17,47,0,0,0,0,0,0,0,0,0,0,1544,1480,1228,746,488,438,305,229,220,58,0,88
asv79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,684,1145,351,484,0,0,0,40,14,0,0,0,0,0,1579,1364,1423,212,134,91,0,0,0,0,0,0
asv80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2537,2606,2209,145,65,65,0,17,0,0,0,0
asv81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,368,440,763,4121,53,1181,0,26,0,37,16,123,0,0,390,0,0,0,0,0,0,0,0,0,0,0,0
asv82,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,713,724,744,158,73,60,1005,874,820,146,0,228
asv83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1294,1269,1321,183,79,63,547,405,426,72,31,120
asv84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,23,0,0,0,0,0,0,0,0,0,0,0,89,51,58,3260,1780,1497,72,69,68,0,0,0
asv85,0,0,0,57,0,29,0,197,0,90,44,30,18,132,26,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,40,137,50,0,0,0,0,30,0,0,25,61,120,23,77,40,0,0,22,0,0,0,0,21,16,597,585,421,470,188,241,898,714,740,101,48,128
asv86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1760,1738,1420,450,220,229,174,106,141,52,14,64
asv87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,276,282,270,0,0,0,396,495,488,108,33,113
asv88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,567,775,650,1615,290,1355
asv89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
asv92,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,134,122,3051,1632,1297,20,0,0,0,0,0
asv94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,385,348,311,1449,659,704,240,189,190,114,26,91
asv95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411,523,383,222,117,127,214,174,211,648,106,850
asv96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,291,277,297,2666,1365,1291,0,0,0,0,0,0
asv97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,65,98,80,255,126,118,168,274,239,1432,162,1257
asv98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,245,227,270,17,18,23,681,736,864,176,39,196
